b	e	p	r	l	keff
0	1	0.4	0	0	0.03183
0	1	0.8	0	0	0.02528
0	1	1	0	0	0.02303
0	1	0	0.5	0	0.06353
0	1	0.4	0.5	0	0.04337
0	1	0.8	0.5	0	0.03439
0	1	1	0.5	0	0.03137
0	1	0	1	0	0.12815
0	1	0.4	1	0	0.09797
0	1	0.8	1	0	0.0891
0	1	1	1	0	0.08698
0	1	0	0	0.4	0.05914
0	1	0.4	0	0.4	0.04364
0	1	0.8	0	0.4	0.0353
0	1	1	0	0.4	0.03268
0	1	0	0.5	0.4	0.0928
0	1	0.4	0.5	0.4	0.06812
0	1	0.8	0.5	0.4	0.05566
0	1	1	0.5	0.4	0.05126
0	1	0	1	0.4	0.24152
0	1	0.4	1	0.4	0.19007
0	1	0.8	1	0.4	0.17204
0	1	1	1	0.4	0.16721
0	1	0	0	1	0.06288
0	1	0.4	0	1	0.04808
0	1	0.8	0	1	0.03997
0	1	1	0	1	0.03742
0	1	0	0.5	1	0.10262
0	1	0.4	0.5	1	0.07995
0	1	0.8	0.5	1	0.06782
0	1	1	0.5	1	0.06442
0	1	0	1	1	0.29764
0	1	0.4	1	1	0.25457
0	1	0.8	1	1	0.23962
0	1	1	1	1	0.23453
0.5	1	0	0	0	0.05726
0.5	1	0.4	0	0	0.06099
0.5	1	0.8	0	0	0.07107
0.5	1	1	0	0	0.07504
0.5	1	0	0.5	0	0.10463
0.5	1	0.4	0.5	0	0.1282
0.5	1	0.8	0.5	0	0.14855
0.5	1	1	0.5	0	0.15635
0.5	1	0	1	0	0.32249
0.5	1	0.4	1	0	0.38709
0.5	1	0.8	1	0	0.41504
0.5	1	1	1	0	0.41782
0.5	1	0	0	0.4	0.07273
0.5	1	0.4	0	0.4	0.08563
0.5	1	0.8	0	0.4	0.10538
0.5	1	1	0	0.4	0.11492
0.5	1	0	0.5	0.4	0.14324
0.5	1	0.4	0.5	0.4	0.19323
0.5	1	0.8	0.5	0.4	0.23537
0.5	1	1	0.5	0.4	0.25181
0.5	1	0	1	0.4	0.47017
0.5	1	0.4	1	0.4	0.59995
0.5	1	0.8	1	0.4	0.66056
0.5	1	1	1	0.4	0.67433
0.5	1	0	0	1	0.07749
0.5	1	0.4	0	1	0.09365
0.5	1	0.8	0	1	0.11715
0.5	1	1	0	1	0.12981
0.5	1	0	0.5	1	0.15515
0.5	1	0.4	0.5	1	0.21658
0.5	1	0.8	0.5	1	0.27092
0.5	1	1	0.5	1	0.29017
0.5	1	0	1	1	0.533
0.5	1	0.4	1	1	0.69564
0.5	1	0.8	1	1	0.77391
0.5	1	1	1	1	0.79451
1	1	0	0	0	0.08377
1	1	0.4	0	0	0.12619
1	1	0.8	0	0	0.15823
1	1	1	0	0	0.16894
1	1	0	0.5	0	0.17099
1	1	0.4	0.5	0	0.25123
1	1	0.8	0.5	0	0.29023
1	1	1	0.5	0	0.29811
1	1	0	1	0	0.48126
1	1	0.4	1	0	0.5926
1	1	0.8	1	0	0.60678
1	1	1	1	0	0.59586
1	1	0	0	0.4	0.10226
1	1	0.4	0	0.4	0.16629
1	1	0.8	0	0.4	0.21659
1	1	1	0	0.4	0.23501
1	1	0	0.5	0.4	0.22178
1	1	0.4	0.5	0.4	0.34804
1	1	0.8	0.5	0.4	0.40994
1	1	1	0.5	0.4	0.42863
1	1	0	1	0.4	0.6571
1	1	0.4	1	0.4	0.8437
1	1	0.8	1	0.4	0.87415
1	1	1	1	0.4	0.86836
1	1	0	0	1	0.10778
1	1	0.4	0	1	0.17859
1	1	0.8	0	1	0.23388
1	1	1	0	1	0.25333
1	1	0	0.5	1	0.2362
1	1	0.4	0.5	1	0.37624
1	1	0.8	0.5	1	0.44924
1	1	1	0.5	1	0.46634
1	1	0	1	1	0.72171
1	1	0.4	1	1	0.92666
1	1	0.8	1	1	0.96874
1	1	1	1	1	0.95924
